YearsExperience,Salary
4.6,91108.0
10.0,151371.0
8.0,125075.0
6.7,107991.0
2.6,49372.0
2.6,55441.0
1.6,45515.0
9.2,148857.0
6.8,114349.0
7.8,109496.0
2.0,95000.0
10.2,149319.0
8.9,131385.0
3.1,72093.0
2.8,71848.0
2.8,71050.0
4.0,71286.0
6.0,99526.0
5.2,95050.0
3.8,83404.0
6.9,108967.0
2.4,57315.0
3.8,66749.0
4.5,74430.0
5.4,101300.0
9.0,62000.0
3.0,65424.0
5.9,108828.0
6.7,113293.0
1.5,42839.0
6.8,114491.0
2.7,74704.0
1.7,50113.0
10.0,162517.0
10.2,131442.0
8.7,140975.0
4.0,78696.0
2.0,51608.0
7.5,120734.0
5.2,76499.0
2.2,54643.0
5.8,102457.0
1.4,58623.0
9.6,141054.0
3.5,65532.0
7.3,113586.0
4.0,85323.0
6.0,104630.0
6.2,100162.0
2.8,67706.0
