study_hours,sleep_hours,prev_score,stress_level,study_mode,final_score
1.7,8.8,52.3,5.8,group,26.1
8.0,7.4,71.6,3.9,solo,43.4
4.9,4.3,49.3,7.6,tutor,20.0
7.5,5.5,83.0,2.4,group,44.5
9.8,7.0,87.1,2.7,solo,50.5
5.8,5.2,41.9,4.2,group,21.4
5.5,8.8,69.3,4.4,solo,37.3
1.6,8.7,83.8,2.9,group,47.1
3.4,8.2,93.6,9.3,solo,42.4
5.5,6.4,55.1,8.5,solo,20.6
7.1,8.2,49.3,2.0,tutor,34.3
8.2,4.7,88.2,4.3,solo,44.8
4.4,5.5,90.0,3.1,group,42.2
1.6,6.3,50.9,5.1,solo,20.0
3.6,7.7,64.3,3.5,solo,35.9
9.2,6.4,79.6,5.5,group,41.8
2.9,4.7,86.5,9.3,group,36.2
5.1,5.7,49.3,4.4,tutor,21.1
9.4,5.6,76.6,6.9,group,41.0
1.2,5.5,84.4,6.4,solo,33.8
6.4,4.8,70.2,7.8,tutor,31.3
9.6,6.1,49.1,1.6,solo,26.3
3.1,6.2,42.0,7.7,solo,20.0
5.9,7.9,55.5,9.5,group,24.1
9.2,8.0,84.4,6.4,solo,43.8
2.2,6.6,42.5,3.6,solo,23.2
5.7,6.3,40.5,7.1,tutor,20.0
7.8,7.9,59.9,7.4,solo,35.4
7.0,8.4,43.5,6.9,tutor,26.0
5.2,7.4,48.2,2.3,group,24.9
2.8,8.0,41.3,9.8,solo,20.0
5.4,8.7,68.9,9.6,solo,31.2
4.4,4.2,78.3,4.8,solo,36.3
5.3,8.4,63.5,6.3,tutor,35.0
4.3,5.4,47.4,1.4,solo,20.0
8.5,6.4,58.2,9.9,solo,27.5
7.9,8.0,72.5,8.4,solo,41.6
3.8,7.6,91.7,6.7,tutor,42.8
6.2,4.7,94.6,7.8,solo,38.1
3.5,7.3,53.3,2.7,group,29.9
5.1,4.3,40.6,3.8,solo,20.0
4.2,5.8,85.7,3.2,tutor,43.9
6.9,8.1,91.0,6.4,solo,46.4
4.3,6.1,65.2,1.8,solo,36.6
5.1,7.0,82.4,9.1,tutor,37.0
7.5,7.6,87.6,5.2,solo,44.6
4.7,8.1,73.5,5.0,group,38.0
9.2,7.8,88.0,1.9,solo,53.9
2.6,4.0,41.3,7.2,solo,20.0
7.7,6.1,54.9,8.4,solo,24.8
4.8,6.3,55.2,6.7,solo,20.0
4.8,4.3,46.6,3.2,solo,23.1
6.7,6.7,90.1,8.1,solo,39.6
5.7,7.0,41.7,2.3,solo,20.0
4.7,8.1,77.0,8.4,tutor,29.4
1.0,8.7,43.9,6.2,solo,20.0
1.8,4.6,59.8,3.6,solo,30.3
7.4,5.2,63.0,5.6,solo,31.1
5.7,7.3,50.0,6.7,solo,24.6
7.3,4.7,68.7,3.3,group,33.7
